"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENE","GENENAME"
"ENSG00000112619.7",57.1175647376671,6.24807395934711,1.21498397802814,5.14251551653168,2.71084045019818e-07,3.68140561001125e-05,"ENSG00000112619","PRPH2"
"ENSG00000226419.7",32.616965913619,8.82701138640244,1.71686938665722,5.14134124296364,2.72784093302349e-07,3.68140561001125e-05,"ENSG00000226419","SLC16A1-AS1"
"ENSG00000279417.1",267.03154655342,6.61868364907564,1.28765046099187,5.14012447444572,2.74556524567838e-07,3.68140561001125e-05,"ENSG00000279417","RP11-382B18.1"
"ENSG00000269893.6",83.6012784006501,7.44972147231245,1.4499038061964,5.13807980948449,2.77560006205989e-07,3.69735325914004e-05,"ENSG00000269893","SNHG8"
"ENSG00000225439.2",22.7485914364717,9.01540847876193,1.75589061377354,5.13437933322459,2.83076641421842e-07,3.73606980338073e-05,"ENSG00000225439","BOLA3-AS1"
"ENSG00000280433.1",73.0145702322052,5.67752272452796,1.10593646934043,5.1336789064511,2.84132682166731e-07,3.73606980338073e-05,"ENSG00000280433","CH507-9B2.9"
"ENSG00000269044.2",22.8857064086641,8.99077984989664,1.75354873964766,5.12719130447618,2.9409664026875e-07,3.84229719571628e-05,"ENSG00000269044","CTC-429P9.3"
"ENSG00000259820.1",39.0273812451407,7.27691044979471,1.42052524029373,5.12269000464223,3.01207323869413e-07,3.88910321646933e-05,"ENSG00000259820","AC083843.1"
"ENSG00000279742.1",28.224665160364,7.35005416286636,1.43485413710504,5.12250964944479,3.01495661744838e-07,3.88910321646933e-05,"ENSG00000279742","RP11-700A24.1"
"ENSG00000270074.1",71.3082929838997,8.98731789452335,1.75663569200342,5.11621045583643,3.11735223628945e-07,3.99589659923366e-05,"ENSG00000270074","RP11-351I21.11"
"ENSG00000223525.1",62.6352379729367,7.00034490505061,1.36938956684735,5.11201857712924,3.1873447355934e-07,4.03486168050491e-05,"ENSG00000223525","RABGAP1L-IT1"
"ENSG00000187191.14",194.927262041873,-10.9422609823395,2.1436203102983,-5.10457049215811,3.31546670854234e-07,4.17114364116058e-05,"ENSG00000187191","DAZ3"
"ENSG00000233178.7",44.933222383838,9.97676171699233,1.95865543685501,5.09367882133056,3.51181500236487e-07,4.39106144559499e-05,"ENSG00000233178","RP11-88I18.2"
"ENSG00000237438.7",32.2780221851127,8.55929902933891,1.68496389933055,5.07981152162345,3.77809514196083e-07,4.67159603362674e-05,"ENSG00000237438","CECR7"
